County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,Population,Insured_rate,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,State,Regions,Insured_rate_EqWidth,Ave_Payment_EqWidth,Pop_EqWidth
"lea, nm",49429.0,48517.0,50341.0,10947.0,10035.0,11859.0,60376.0,0.817660489519312,14959.25,16901.0,19007.75,nm,southwest,Very_Low,Cheap,Small
"leake, ms",13739.0,13391.0,14087.0,4236.0,3888.0,4584.0,17975.0,0.7646759778295915,13586.0,15488.5,17522.5,ms,southeast,Very_Low,Very_Cheap,Very_Small
"leavenworth, ks",57474.0,56946.5,58001.5,5245.0,4717.5,5772.5,62719.0,0.9162881413558185,15752.833333333334,17841.083333333336,20055.25,ks,midwest,High,Cheap,Small
"lebanon, pa",97232.0,96204.0,98260.0,11575.0,10547.0,12603.0,108807.0,0.8935763071720777,17631.25,18732.0,19892.75,pa,northeast,Fair,Moderate,Medium
"lee, al",115387.5,113622.0,117153.0,18456.5,16691.0,20222.0,133844.0,0.8617625504429434,17533.0,18445.25,19423.5,al,southeast,Low,Cheap,Large
"lee, ia",25458.5,25228.5,25688.5,2135.0,1905.0,2365.0,27593.5,0.9228760731136267,16451.958333333336,18200.916666666664,20135.125,ia,midwest,High,Cheap,Very_Small
"lee, il",23929.5,23700.0,24159.0,2219.0,1989.5,2448.5,26148.5,0.9155312189653643,17351.75,18971.0,20784.25,il,midwest,High,Moderate,Very_Small
"lee, ms",61179.5,60193.5,62165.5,11330.5,10344.5,12316.5,72510.0,0.8438075387054997,19348.75,20141.75,20979.75,ms,southeast,Low,Moderate,Small
"lee, nc",41107.0,40354.0,41860.0,9296.5,8543.5,10049.5,50403.5,0.8158754141157458,17711.5,19581.0,21650.5,nc,southeast,Very_Low,Moderate,Small
"leflore, ms",20738.0,20270.5,21205.5,4834.0,4366.5,5301.5,25572.0,0.8115203126794815,19995.0,21699.0,23538.25,ms,southeast,Very_Low,Expensive,Very_Small
"lemhi, id",4590.0,4491.5,4688.5,967.0,868.5,1065.5,5557.0,0.8264032373830419,14515.0,16392.5,18308.5,id,west,Very_Low,Very_Cheap,Very_Small
"lenawee, mi",70198.5,69506.5,70890.5,7631.0,6939.0,8323.0,77829.5,0.9022787366196884,16057.541666666668,17773.375,19703.75,mi,midwest,High,Cheap,Medium
"lenoir, nc",39497.0,38786.0,40208.0,8198.5,7487.5,8909.5,47695.5,0.8284667354495177,18305.0,19672.75,21126.25,nc,southeast,Very_Low,Moderate,Small
"leslie, ky",7735.0,7614.0,7856.0,1207.5,1086.5,1328.5,8942.5,0.8663499938997112,13302.5,15484.5,17795.0,ky,southeast,Fair,Very_Cheap,Very_Small
"letcher, ky",16886.5,16643.0,17130.0,2447.5,2204.0,2691.0,19334.0,0.8745268403148989,16329.0,18199.333333333332,20262.333333333332,ky,southeast,Fair,Cheap,Very_Small
"lewis and clark, mt",47191.5,46573.0,47810.0,6914.5,6296.0,7533.0,54106.0,0.8721611329288587,16353.0,17636.0,18996.75,mt,west,Fair,Cheap,Small
"lewis, ny",20311.0,20088.5,20533.5,2172.0,1949.5,2394.5,22483.0,0.9036549546984693,13126.0,14753.0,16515.0,ny,northeast,High,Very_Cheap,Very_Small
"lewis, wa",51911.5,51206.5,52616.5,8245.5,7540.5,8950.5,60157.0,0.8631992482075709,17355.875,19732.875,22122.375,wa,west,Low,Moderate,Small
"lewis, wv",11493.5,11324.5,11662.5,1589.5,1420.5,1758.5,13083.0,0.878745556864631,16507.25,18282.5,20233.25,wv,southeast,Fair,Cheap,Very_Small
"lexington city, va",3019.0,2959.5,3078.5,479.0,419.5,538.5,3498.0,0.8627341505846179,16720.0,18694.333333333332,20914.333333333332,va,southeast,Low,Moderate,Very_Small
"liberty, ga",47579.0,46739.5,48418.5,8374.5,7535.0,9214.0,55953.5,0.8508242919200455,13713.5,15810.0,18047.0,ga,southeast,Low,Very_Cheap,Small
"licking, oh",127207.0,126033.5,128380.5,13399.5,12226.0,14573.0,140606.5,0.9046235931733573,17798.75,19184.5,20648.25,oh,midwest,High,Moderate,Large
"limestone, al",64492.0,63576.5,65407.5,10536.0,9620.5,11451.5,75028.0,0.8593183570323181,16692.333333333332,17856.666666666668,19100.333333333332,al,southeast,Low,Cheap,Small
"limestone, tx",13784.5,13476.5,14092.5,4086.0,3778.0,4394.0,17870.5,0.7714535621004339,14569.5,16659.25,18858.75,tx,southwest,Very_Low,Very_Cheap,Very_Small
"lincoln, co",3070.5,3019.5,3121.5,485.5,434.5,536.5,3556.0,0.8627906112183988,12117.0,14049.0,16093.0,co,west,Low,Very_Cheap,Very_Small
"lincoln, ky",17217.0,16943.0,17491.0,2936.5,2662.5,3210.5,20153.5,0.8546934418217167,13345.0,15272.0,17242.0,ky,southeast,Low,Very_Cheap,Very_Small
"lincoln, la",29881.0,29156.0,30606.0,7265.5,6540.5,7990.5,37146.5,0.8043683934126171,18249.333333333332,19970.0,21791.666666666668,la,southeast,Very_Low,Moderate,Very_Small
"lincoln, me",21414.0,21068.5,21759.5,3703.0,3357.5,4048.5,25117.0,0.8528516111188029,16795.666666666668,18403.333333333332,20192.333333333332,me,northeast,Low,Cheap,Very_Small
"lincoln, mo",40765.0,40196.5,41333.5,6429.5,5861.0,6998.0,47194.5,0.8637229856640276,18668.0,20760.0,23032.0,mo,midwest,Low,Expensive,Small
"lincoln, ms",23736.5,23253.5,24219.5,5233.5,4750.5,5716.5,28970.0,0.8195084179987494,14821.0,16312.0,17782.5,ms,southeast,Very_Low,Very_Cheap,Very_Small
"lincoln, mt",11342.5,11082.0,11603.0,2966.0,2705.5,3226.5,14308.5,0.7935379529325532,13974.0,16107.0,18210.0,mt,west,Very_Low,Very_Cheap,Very_Small
"lincoln, nc",56439.5,55552.0,57327.0,10843.5,9956.0,11731.0,67283.0,0.8387620889793583,17416.75,18991.5,20679.0,nc,southeast,Low,Moderate,Small
"lincoln, ne",26295.0,25991.5,26598.5,2949.5,2646.0,3253.0,29244.5,0.899256070368205,18324.75,19715.75,21176.75,ne,midwest,Fair,Moderate,Very_Small
"lincoln, nm",11385.0,11113.0,11657.0,3064.0,2792.0,3336.0,14449.0,0.7897192755235061,13468.0,15247.0,17073.5,nm,southwest,Very_Low,Very_Cheap,Very_Small
